Player,Rec,Yds,TD,Lng,Fum,YAC,Tgts
Cooper Kupp,145,1947,16,59,0,846,192
Davante Adams,123,1553,11,59,0,613,169
Tyreek Hill,111,1239,9,75,2,444,159
Justin Jefferson,108,1616,10,56,1,482,170
Mark Andrews,107,1361,9,43,1,458,158
Diontae Johnson,107,1161,8,50,2,527,173
Keenan Allen,106,1138,6,42,1,337,158
Jaylen Waddle,104,1015,6,57,1,420,140
Stefon Diggs,103,1225,10,61,1,326,164
Hunter Renfrow,103,1038,9,54,1,452,129
Chris Godwin,98,1103,5,44,2,586,127
D.J. Moore,93,1157,4,64,1,426,164
Travis Kelce,92,1125,9,69,1,564,134
Marquise Brown,91,1008,6,49,3,388,147
Brandin Cooks,90,1037,6,52,0,343,134
Amon-Ra St. Brown,90,912,5,37,0,424,121
Michael Pittman,88,1082,6,57,1,348,130
Jakobi Meyers,83,866,2,39,1,222,128
Cole Beasley,82,693,1,29,1,305,113
Ja'Marr Chase,81,1455,13,82,2,651,128
Darnell Mooney,81,1055,4,64,0,381,141
CeeDee Lamb,79,1102,6,49,0,441,121
Dalton Schultz,78,808,8,32,0,348,106
Christian Kirk,77,982,5,50,0,243,103
Terry McLaurin,77,1053,5,46,0,317,130
Deebo Samuel,77,1405,6,83,4,780,121
Mike Williams,76,1146,9,72,0,415,130
DK Metcalf,75,967,12,84,1,328,129
Zach Ertz,74,763,5,47,0,340,113
Mike Evans,74,1035,14,46,0,239,114
Najee Harris,74,467,3,25,0,499,94
Tee Higgins,74,1091,6,54,1,290,111
Mike Gesicki,73,780,2,40,0,218,113
Marvin Jones,73,832,4,33,0,132,120
Tyler Lockett,73,1175,8,69,0,277,108
George Kittle,71,910,6,48,2,450,94
Austin Ekeler,70,647,8,40,4,627,95
Leonard Fournette,69,454,2,23,1,449,84
Amari Cooper,68,865,8,41,1,235,104
Noah Fant,68,670,4,35,0,309,91
Kyle Pitts,68,1026,1,61,0,313,110
Tyler Boyd,67,828,5,68,1,389,95
Adam Thielen,67,726,10,35,1,239,95
Russell Gage,66,770,4,49,2,253,94
DeVonta Smith,64,916,5,46,1,220,105
A.J. Brown,63,869,5,57,0,248,105
Laviska Shenault Jr.,63,619,0,58,1,389,100
D'Andre Swift,62,452,2,63,2,502,78
Tyler Conklin,61,593,3,40,1,326,87
Tyler Higbee,61,560,5,37,1,281,85
T.J. Hockenson,61,583,4,33,0,199,86
Pat Freiermuth,60,497,7,24,1,247,80
Cole Kmet,60,612,0,25,0,246,93
Chase Claypool,59,860,2,59,0,295,105
Mecole Hardman,59,693,2,53,1,502,83
Courtland Sutton,58,776,2,55,0,135,100
Brandon Aiyuk,56,826,5,43,1,349,86
Dallas Goedert,56,830,4,45,1,386,77
Kendrick Bourne,55,800,5,75,1,385,70
Rob Gronkowski,55,802,6,42,0,350,89
Darren Waller,55,665,2,33,0,242,93
A.J. Green,54,848,3,42,0,181,93
Josh Jacobs,54,348,0,29,0,395,64
Rondale Moore,54,435,1,77,1,438,64
Robbie Anderson,53,519,5,57,0,158,110
Tim Patrick,53,734,5,44,0,202,85
Aaron Jones,52,391,6,26,1,412,65
Jarvis Landry,52,570,2,38,1,286,87
Cordarrelle Patterson,52,548,5,64,0,385,69
Jamison Crowder,51,447,2,29,1,174,73
Hunter Henry,50,603,9,35,0,144,75
Van Jefferson,50,802,6,79,0,216,89
K.J. Osborn,50,655,7,64,0,179,82
Myles Gaskin,49,234,4,24,0,224,63
Dawson Knox,49,587,9,53,0,277,71
C.J. Uzomah,49,493,5,55,0,300,63
Jared Cook,48,564,4,42,0,238,85
Gerald Everett,48,478,4,41,2,249,63
Kalif Raymond,48,576,4,75,0,262,71
Ezekiel Elliott,47,287,2,21,0,295,65
Zay Jones,47,546,1,43,1,170,70
Alvin Kamara,47,439,5,31,0,437,67
Darrel Williams,47,452,2,38,0,435,57
Rashod Bateman,46,515,1,36,0,171,68
Braxton Berrios,46,431,2,46,1,264,65
Marquez Callaway,46,698,6,58,0,144,84
Evan Engram,46,408,3,30,1,185,73
Ced Wilson,45,602,6,73,1,260,62
Robert Woods,45,556,4,28,0,198,70
Odell Beckham Jr.,44,537,5,54,0,151,83
Mike Davis,44,259,1,20,2,306,58
Chase Edmonds,43,311,0,36,1,324,53
J.D. McKissic,43,397,2,56,0,380,54
Elijah Moore,43,538,5,62,0,207,78
Quez Watkins,43,647,1,91,0,253,63
Javonte Williams,43,316,3,42,0,343,53
Antonio Brown,42,545,4,62,0,190,62
Antonio Gibson,42,294,3,73,1,333,53
DeAndre Hopkins,42,572,8,55,0,140,64
Joe Mixon,42,314,3,52,1,318,48
